"cancer_type","config","test_auc","median_test_auc_blood","greater_than_blood","median_test_auc_original","greater_than_original"
"pancreatic","100kb_0.05",0.53890192687747,0.619965089088693,0,0.570882740447958,0
"pancreatic","100kb_0.1",0.525647595683491,0.586488089354552,0,0.570709766706208,0
"pancreatic","100kb_0.5",0.507848639764764,0.570824651055103,0,0.539603855881571,0
"pancreatic","100kb_1",0.511951682256154,0.539927578392945,0,0.513061346633416,0
"pancreatic","10kb_0.01",0.556056069243866,0.647916872509304,0,0.544915879477754,1
"pancreatic","10kb_0.1",0.504396872981865,0.577014520785831,0,0.520106700919939,0
"pancreatic","10kb_0.5",0.533045736394846,0.565064150300154,0,NA,NA
"pancreatic","10kb_1",0.534315180827272,0.558615748366234,0,0.530833931859779,1
"pancreatic","1mb_0.5",0.556943529799144,0.552813425468904,1,0.575691699604743,0
"pancreatic","1mb_1",0.570739309579215,0.569554455445545,1,0.543921356421356,1
"pancreatic","20kb_0.01",0.551658217878057,0.597573314362501,0,0.553900877400996,0
"pancreatic","20kb_0.05",0.512695818726552,0.634035467951967,0,0.532746002208938,0
"pancreatic","20kb_0.1",0.508324697425274,0.622681088856375,0,0.527678174288736,0
"pancreatic","20kb_0.5",0.499712363504287,0.566478575207194,0,0.508920369722636,0
"pancreatic","20kb_1",0.539149075501443,0.553811875884939,0,0.535407874782991,1
"pancreatic","500kb_0.1",0.533740601503759,0.660088801184016,0,0.543907252096695,0
"pancreatic","500kb_0.5",0.558856342710124,0.540697674418605,1,0.581921743437345,0
"pancreatic","500kb_1",0.563040133607106,0.598981619473423,0,0.533673736580257,1
"pancreatic","50kb_0.1",0.561813462182751,0.667162482704092,0,0.526275951557093,1
"pancreatic","50kb_1",0.53503551120225,0.574192539297724,0,0.527850669916758,1
"breast","100kb_0.05",0.579584568511199,0.619965089088693,0,0.759453227931489,0
"breast","100kb_0.1",0.641758487076045,0.586488089354552,1,0.66892553812969,0
"breast","100kb_0.5",0.579894326147934,0.570824651055103,1,0.661887142472351,0
"breast","100kb_1",0.527761182869398,0.539927578392945,0,0.652255650460318,0
"breast","10kb_0.01",0.528046159325947,0.647916872509304,0,0.709293019119609,0
"breast","10kb_0.1",0.517698653693549,0.577014520785831,0,0.619697220259023,0
"breast","10kb_0.5",0.542259017284337,0.565064150300154,0,0.589800869801495,0
"breast","10kb_1",0.521647945068367,0.558615748366234,0,0.573574824482432,0
"breast","1mb_0.5",0.562108989134014,0.552813425468904,1,0.752056597564989,0
"breast","1mb_1",0.530101833863496,0.569554455445545,0,0.71012909632572,0
"breast","20kb_0.01",0.566446159318617,0.597573314362501,0,0.620002766634389,0
"breast","20kb_0.05",0.560157961375714,0.634035467951967,0,0.618546484393466,0
"breast","20kb_0.1",0.521890997317799,0.622681088856375,0,0.620167577300705,0
"breast","20kb_0.5",0.520818350789161,0.566478575207194,0,0.603134088308282,0
"breast","20kb_1",0.527817641110023,0.553811875884939,0,0.591766296745916,0
"breast","500kb_0.1",0.713674812030075,0.660088801184016,1,0.933892451899359,0
"breast","500kb_0.5",0.547257851450974,0.540697674418605,1,0.744279346210996,0
"breast","500kb_1",0.582448733085591,0.598981619473423,0,0.686302409409979,0
"breast","50kb_0.1",0.533062020267477,0.667162482704092,0,0.664179067582934,0
"breast","50kb_1",0.548493129785858,0.574192539297724,0,0.62929804553612,0
