"","chr","new_wind","bkpt_in_window_blood","bkpt_in_window_bone","bkpt_in_window_brain","bkpt_in_window_breast","bkpt_in_window_liver","bkpt_in_window_ovary","bkpt_in_window_pancreatic","bkpt_in_window_prostate","bkpt_in_window_skin","bkpt_in_window_uterus","from","to","density_blood","density_bone","density_brain","density_breast","density_liver","density_ovary","density_pancreatic","density_prostate","density_skin","density_uterus","prod_density_blood","prod_density_brain","prod_density_bone","prod_density_uterus","prod_density_liver","prod_density_prostate","prod_density_skin","prod_density_ovary","prod_density_pancreatic","prod_density_breast","overall_density","blood_bkpt_hotspot_0.5","bone_bkpt_hotspot_0.5","brain_bkpt_hotspot_0.5","breast_bkpt_hotspot_0.5","liver_bkpt_hotspot_0.5","ovary_bkpt_hotspot_0.5","pancreatic_bkpt_hotspot_0.5","prostate_bkpt_hotspot_0.5","skin_bkpt_hotspot_0.5","uterus_bkpt_hotspot_0.5","overall_density_bkpt_hotspot_0.5","blood_bkpt_hotspot_1","bone_bkpt_hotspot_1","brain_bkpt_hotspot_1","breast_bkpt_hotspot_1","liver_bkpt_hotspot_1","ovary_bkpt_hotspot_1","pancreatic_bkpt_hotspot_1","prostate_bkpt_hotspot_1","skin_bkpt_hotspot_1","uterus_bkpt_hotspot_1","overall_density_bkpt_hotspot_1"
"1","1",1,0,0,2,31,0,11,18,10,7,0,0,1e+06,0,0,0.00128122998078155,0.000161546679173506,0,0.00015364630620312,0.000209968854619898,0.000208589724870153,0.0001278562165519,0,0,5.08834742600181e-05,0,0,0,3.59838309115125e-05,4.60171303754901e-06,5.69678361503968e-06,1.10098468603049e-05,4.20282005854748e-05,0.000150203849269899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","1",2,2,4,0,82,8,50,39,29,62,0,1e+06,2e+06,0.000859845227858985,0.00157109190887667,0,0.00042731702232992,0.000358567522746627,0.000698392300923275,0.000454932518343112,0.000604910202123443,0.00113244077517398,0,0.000122453912375822,0,1.07241768524005e-05,0,4.34998142705342e-05,0.000104353109643386,4.07580297611484e-05,2.58944709774531e-05,2.38546681973273e-05,0.000111171369290611,0.000482709551368682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","1",3,2,0,0,30,7,26,23,6,20,8,2e+06,3e+06,0.000859845227858985,0,0,0.000156335495974361,0.000313746582403299,0.000363163996480103,0.000268293536458759,0.000125153834922092,0.000365303475862573,0.00117959304040106,0.000122453912375822,0,0,0.00015518071645363,3.80623374867174e-05,2.15902985469075e-05,1.31477515358543e-05,1.34651249082756e-05,1.40681376548341e-05,4.06724521794918e-05,0.000418640731141533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","1",4,1,0,0,25,4,10,27,5,14,2,3e+06,4e+06,0.000429922613929493,0,0,0.000130279579978634,0.000179283761373314,0.000139678460184655,0.000314953281929847,0.000104294862435076,0.000255712433103801,0.000294898260100265,6.1226956187911e-05,0,0,3.87951791134076e-05,2.17499071352671e-05,1.79919154557562e-05,9.20342607509802e-06,5.17889419549062e-06,1.65147702904574e-05,3.38937101495765e-05,0.000204554758602964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","1",5,0,2,0,40,5,17,28,20,7,1,4e+06,5e+06,0,0.000785545954438335,0,0.000208447327965815,0.000224104701716642,0.000237453382313913,0.000326618218297619,0.000417179449740306,0.0001278562165519,0.000147449130050133,0,0,5.36208842620024e-06,1.93975895567038e-05,2.71873839190839e-05,7.1967661823025e-05,4.60171303754901e-06,8.80412013233406e-06,1.71264284493632e-05,5.42299362393223e-05,0.000208676921583581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","1",6,2,0,0,36,8,18,15,1,17,0,5e+06,6e+06,0.000859845227858985,0,0,0.000187602595169233,0.000358567522746627,0.000251421228332379,0.000174974045516582,2.08589724870153e-05,0.000310507954483187,0,0.000122453912375822,0,0,0,4.34998142705342e-05,3.59838309115125e-06,1.11755888054762e-05,9.32200955188312e-06,9.17487238358743e-06,4.88069426153901e-05,0.000248031523093844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","1",7,2,2,0,46,26,37,35,1,23,2,6e+06,7e+06,0.000859845227858985,0.000785545954438335,0,0.000239714427160687,0.00116534444892654,0.000516810302683223,0.000408272772872024,2.08589724870153e-05,0.000420098997241959,0.000294898260100265,0.000122453912375822,0,5.36208842620024e-06,3.87951791134076e-05,0.000141374396379236,3.59838309115125e-06,1.51199142662325e-05,1.91619085233153e-05,2.1408035561704e-05,6.23644266752207e-05,0.00042963824441229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","1",8,2,1,0,20,5,17,27,2,14,0,7e+06,8e+06,0.000859845227858985,0.000392772977219167,0,0.000104223663982907,0.000224104701716642,0.000237453382313913,0.000314953281929847,4.17179449740306e-05,0.000255712433103801,0,0.000122453912375822,0,2.68104421310012e-06,0,2.71873839190839e-05,7.1967661823025e-06,9.20342607509802e-06,8.80412013233406e-06,1.65147702904574e-05,2.71149681196612e-05,0.000221156391307859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","1",9,1,0,0,69,14,36,17,42,12,5,8e+06,9e+06,0.000429922613929493,0,0,0.00035957164074103,0.000627493164806598,0.000502842456664758,0.000198303918252126,0.000876076844454642,0.000219182085517544,0.000737245650250664,6.1226956187911e-05,0,0,9.69879477835189e-05,7.61246749734348e-05,0.000151132089828352,7.88865092151259e-06,1.86440191037662e-05,1.03981887013991e-05,9.3546640012831e-05,0.000515949167512726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","1",10,3,0,0,69,16,34,25,34,18,0,9e+06,1e+07,0.00128976784178848,0,0,0.00035957164074103,0.000717135045493254,0.000474906764627827,0.000291623409194303,0.00070920506455852,0.000328773128276316,0,0.000183680868563733,0,0,0,8.69996285410684e-05,0.000122345025099142,1.18329763822689e-05,1.76082402646681e-05,1.52914539726457e-05,9.3546640012831e-05,0.000531304832836358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","1",11,0,0,0,49,9,26,38,0,16,8,1e+07,1.1e+07,0,0,0,0.000255347976758123,0.000403388463089956,0.000363163996480103,0.00044326758197534,0,0.000292242780690058,0.00117959304040106,0,0,0,0.00015518071645363,4.89372910543509e-05,0,1.05182012286835e-05,1.34651249082756e-05,2.32430100384215e-05,6.64316718931699e-05,0.000317776015576532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","1",12,0,4,1,68,4,53,19,4,7,1,1.1e+07,1.2e+07,0,0.00157109190887667,0.000640614990390775,0.000354360457541885,0.000179283761373314,0.000740295838978671,0.00022163379098767,8.34358899480612e-05,0.0001278562165519,0.000147449130050133,0,2.5441737130009e-05,1.07241768524005e-05,1.93975895567038e-05,2.17499071352671e-05,1.4393532364605e-05,4.60171303754901e-06,2.74481392361003e-05,1.16215050192108e-05,9.2190891606848e-05,0.000227569191938693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","1",13,1,0,0,48,11,29,29,15,10,8,1.2e+07,1.3e+07,0.000429922613929493,0,0,0.000250136793558978,0.000493030343776612,0.000405067534535499,0.000338283154665391,0.000312884587305229,0.000182651737931286,0.00117959304040106,6.1226956187911e-05,0,0,0.00015518071645363,5.98122446219845e-05,5.39757463672687e-05,6.57387576792716e-06,1.50187931669228e-05,1.7738086608269e-05,6.50759234871868e-05,0.0004346023426611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","1",14,0,0,0,12,0,8,3,0,2,4,1.3e+07,1.4e+07,0,0,0,6.25341983897444e-05,0,0.000111742768147724,3.49948091033163e-05,0,3.65303475862573e-05,0.000589796520200531,0,0,0,7.75903582268151e-05,0,0,1.31477515358543e-06,4.1431153563925e-06,1.83497447671749e-06,1.62689808717967e-05,0.000101152204085307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","1",15,1,2,0,61,8,21,24,5,15,0,1.4e+07,1.5e+07,0.000429922613929493,0.000785545954438335,0,0.000317882175147867,0.000358567522746627,0.000293324766387775,0.000279958472826531,0.000104294862435076,0.00027397760689693,0,6.1226956187911e-05,0,5.36208842620024e-06,0,4.34998142705342e-05,1.79919154557562e-05,9.86081365189074e-06,1.08756778105303e-05,1.46797958137399e-05,8.27006527649666e-05,0.000246197714381529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","1",16,0,1,0,61,3,50,22,30,8,1,1.5e+07,1.6e+07,0,0.000392772977219167,0,0.000317882175147867,0.000134462821029985,0.000698392300923275,0.000256628600090987,0.000625769174610459,0.000146121390345029,0.000147449130050133,0,0,2.68104421310012e-06,1.93975895567038e-05,1.63124303514503e-05,0.000107951492734537,5.25910061434173e-06,2.58944709774531e-05,1.34564794959282e-05,8.27006527649666e-05,0.000273653260708481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
