"chr","new_wind","count_q","length_q","from","to","coverage_q"
"1",1,390,9864,0,1e+06,0.009864
"1",2,973,25182,1e+06,2e+06,0.025182
"1",3,850,21699,2e+06,3e+06,0.021699
"1",4,716,18189,3e+06,4e+06,0.018189
"1",5,292,7416,4e+06,5e+06,0.007416
"1",6,245,5929,5e+06,6e+06,0.005929
"1",7,537,13542,6e+06,7e+06,0.013542
"1",8,283,7079,7e+06,8e+06,0.007079
"1",9,132,3144,8e+06,9e+06,0.003144
"1",10,347,8699,9e+06,1e+07,0.008699
"1",11,369,9302,1e+07,1.1e+07,0.009302
"1",12,363,9070,1.1e+07,1.2e+07,0.00907
"1",13,256,6305,1.2e+07,1.3e+07,0.006305
"1",14,111,2548,1.3e+07,1.4e+07,0.002548
"1",15,146,3513,1.4e+07,1.5e+07,0.003513
"1",16,235,5763,1.5e+07,1.6e+07,0.005763
"1",17,418,10426,1.6e+07,1.7e+07,0.010426
"1",18,378,9467,1.7e+07,1.8e+07,0.009467
"1",19,364,9020,1.8e+07,1.9e+07,0.00902
"1",20,323,8046,1.9e+07,2e+07,0.008046
"1",21,242,5945,2e+07,2.1e+07,0.005945
"1",22,316,7781,2.1e+07,2.2e+07,0.007781
"1",23,413,10380,2.2e+07,2.3e+07,0.01038
"1",24,269,6662,2.3e+07,2.4e+07,0.006662
"1",25,237,5702,2.4e+07,2.5e+07,0.005702
"1",26,323,7913,2.5e+07,2.6e+07,0.007913
"1",27,280,6888,2.6e+07,2.7e+07,0.006888
"1",28,380,9443,2.7e+07,2.8e+07,0.009443
"1",29,117,2625,2.8e+07,2.9e+07,0.002625
"1",30,209,5303,2.9e+07,3e+07,0.005303
"1",31,342,8501,3e+07,3.1e+07,0.008501
"1",32,295,7478,3.1e+07,3.2e+07,0.007478
"1",33,287,7143,3.2e+07,3.3e+07,0.007143
"1",34,293,7129,3.3e+07,3.4e+07,0.007129
"1",35,178,4373,3.4e+07,3.5e+07,0.004373
"1",36,153,3727,3.5e+07,3.6e+07,0.003727
"1",37,225,5645,3.6e+07,3.7e+07,0.005645
"1",38,347,8478,3.7e+07,3.8e+07,0.008478
"1",39,245,5952,3.8e+07,3.9e+07,0.005952
"1",40,163,4007,3.9e+07,4e+07,0.004007
"1",41,175,4331,4e+07,4.1e+07,0.004331
