"chr","new_wind","count_sl_15_30","count_sl_16_50","count_sl_6_15","length_sl_15_30","length_sl_16_50","length_sl_6_15","from","to","coverage_sl_15_30","coverage_sl_16_50","coverage_sl_6_15"
"1",1,6816,202,14679,393747,9872,425609,0,1000000,0.393747,0.009872,0.425609
"1",2,8322,226,17762,491985,9047,515629,1000000,2000000,0.491985,0.009047,0.515629
"1",3,7832,183,16889,465704,7050,504563,2000000,3000000,0.465704,0.00705,0.504563
"1",4,7163,166,15058,422652,6684,444846,3000000,4000000,0.422652,0.006684,0.444846
"1",5,8248,210,17542,444184,9208,493351,4000000,5000000,0.444184,0.009208,0.493351
"1",6,8246,199,17589,445840,9070,494923,5000000,6000000,0.44584,0.00907,0.494923
"1",7,8331,207,17697,467061,8555,501716,6000000,7000000,0.467061,0.008555,0.501716
"1",8,8194,205,17526,451137,8502,496329,7000000,8000000,0.451137,0.008502,0.496329
"1",9,8384,246,17913,462032,10137,502316,8000000,9000000,0.462032,0.010137,0.502316
"1",10,8463,220,18020,460724,9949,497967,9000000,10000000,0.460724,0.009949,0.497967
"1",11,8400,203,17761,464589,8893,499385,10000000,11000000,0.464589,0.008893,0.499385
"1",12,8389,204,17989,455421,8141,495350,11000000,12000000,0.455421,0.008141,0.49535
"1",13,8393,231,17709,455270,9115,496574,12000000,13000000,0.45527,0.009115,0.496574
"1",14,6760,144,14310,367097,5929,398018,13000000,14000000,0.367097,0.005929,0.398018
"1",15,8291,228,17691,445094,9761,495299,14000000,15000000,0.445094,0.009761,0.495299
"1",16,8457,220,17853,454867,8719,489323,15000000,16000000,0.454867,0.008719,0.489323
"1",17,8432,215,17982,465315,8693,499046,16000000,17000000,0.465315,0.008693,0.499046
"1",18,8064,215,17031,438301,8700,475394,17000000,18000000,0.438301,0.0087,0.475394
"1",19,8339,191,17602,439983,7602,482214,18000000,19000000,0.439983,0.007602,0.482214
"1",20,8377,183,17737,452943,7186,491274,19000000,20000000,0.452943,0.007186,0.491274
"1",21,8312,200,17775,439985,8089,485990,20000000,21000000,0.439985,0.008089,0.48599
"1",22,8419,271,17871,477918,12094,513365,21000000,22000000,0.477918,0.012094,0.513365
"1",23,8288,210,17633,448334,8542,491774,22000000,23000000,0.448334,0.008542,0.491774
"1",24,8300,221,17901,453406,9048,495524,23000000,24000000,0.453406,0.009048,0.495524
"1",25,8424,235,18056,456719,9977,500097,24000000,25000000,0.456719,0.009977,0.500097
"1",26,8375,226,17787,466250,9887,500803,25000000,26000000,0.46625,0.009887,0.500803
"1",27,8383,255,17971,458645,10751,492826,26000000,27000000,0.458645,0.010751,0.492826
